,ligand,ligand_type,preprogene,synthesis,transport,reuptake,excluded,comment
1,5-LOX activating protein,peptide,['alox5ap'],,,,,inferred from Human
2,ACTH,peptide,['pomc'],,,,,inferred from Mouse
3,ADP-ribosylation factor 1,peptide,['arf5'],,,,,inferred from Human
6,BAFF,peptide,['TNFSF13B'],,,,,inferred from Human
7,BDNF,peptide,['bdnf'],,,,,inferred from Human
8,BMP-10,peptide,['bmp10'],,,,,inferred from Human
9,BMP-2,peptide,['bmp2'],,,,,inferred from Human
10,BMP-4,peptide,['bmp4'],,,,,inferred from Human
11,BMP-5,peptide,['bmp5'],,,,,inferred from Human
12,BMP-6,peptide,['bmp6'],,,,,inferred from Human
13,BMP-7,peptide,"['bmp7.1', 'bmp7.2']",,,,,inferred from Human
14,BMP-8A,peptide,['bmp8'],,,,,inferred from Human
15,BMP-8B,peptide,['bmp8'],,,,,inferred from Human
16,BMP-9,peptide,['gdf2'],,,,,inferred from Human
17,C-type natriuretic peptide,peptide,['nppc'],,,,,inferred from Human
18,C3a,peptide,"['c3', 'ENSXETG00000030458', 'trappc6a', 'ENSXETG00000032282', 'depdc1', 'ENSXETG00000032992']",,,,,inferred from Human
19,C5a,peptide,['c5'],,,,,inferred from Human
20,C5a des-Arg,peptide,['c5'],,,,,inferred from Human
21,CCK-33,peptide,"['cck', 'pgq']",,,,,inferred from Human
22,CCK-39,peptide,"['cck', 'pgq']",,,,,inferred from Human
23,CCK-4,peptide,"['cck', 'pgq']",,,,,inferred from Human
24,CCK-58,peptide,"['cck', 'pgq']",,,,,inferred from Human
25,CCK-8,peptide,"['cck', 'pgq']",,,,,inferred from Mouse
29,CCL14,peptide,"['ENSXETG00000036196', 'ENSXETG00000037100']",,,,,inferred from Human
30,CCL15,peptide,"['ENSXETG00000036196', 'ENSXETG00000037100']",,,,,inferred from Human
39,CCL23,peptide,"['ENSXETG00000036196', 'ENSXETG00000037100']",,,,,inferred from Human
51,CD40 ligand,peptide,['cd40lg'],,,,,inferred from Human
53,CLUL1 (52-77),peptide,['faim2'],,,,,inferred from Human
61,CXCL12α,peptide,['cxcl12'],,,,,inferred from Human
62,CXCL12β,peptide,['cxcl12'],,,,,inferred from Human
63,CXCL12γ,peptide,['cxcl12'],,,,,inferred from Human
64,CXCL12δ,peptide,['cxcl12'],,,,,inferred from Human
65,CXCL12ε,peptide,['cxcl12'],,,,,inferred from Human
66,CXCL12φ,peptide,['cxcl12'],,,,,inferred from Human
75,CXCL8,peptide,"['ENSXETG00000035535', 'ENSXETG00000037202', 'ENSXETG00000039678']",,,,,inferred from Human
79,Chgb (511-532),peptide,['ipmk'],,,,,inferred from Rat
80,EGF,peptide,['egf'],,,,,inferred from Human
84,F2L,peptide,['hebp1'],,,,,inferred from Human
85,FLRT3,peptide,['flrt3'],,,,,inferred from Rat
87,Fas ligand,peptide,['faslg'],,,,,inferred from Human
89,G-CSF,peptide,['csf3'],,,,,inferred from Human
96,GnRH I,peptide,['gnrh1'],,,,,inferred from Mouse
97,GnRH II,peptide,['gnrh2'],,,,,inferred from Human
98,HB-EGF,peptide,['hbegf'],,,,,inferred from Human
111,IFN-β,peptide,"['ENSXETG00000029972', 'ENSXETG00000031544', 'ENSXETG00000033352', 'ENSXETG00000040387']",,,,,inferred from Human
113,IFN-κ,peptide,"['ENSXETG00000029972', 'ENSXETG00000031544', 'ENSXETG00000033352', 'ENSXETG00000040387']",,,,,inferred from Human
114,IFN-λ1,peptide,"['col3a1', 'ENSXETG00000037409', 'maoa']",,,,,inferred from Human
115,IFN-λ2,peptide,"['col3a1', 'ENSXETG00000037409', 'maoa']",,,,,inferred from Human
116,IFN-λ3,peptide,"['col3a1', 'ENSXETG00000037409', 'maoa']",,,,,inferred from Human
117,IFN-ω,peptide,"['ENSXETG00000029972', 'ENSXETG00000031544', 'ENSXETG00000033352', 'ENSXETG00000040387']",,,,,inferred from Human
118,IL-1 receptor antagonist,peptide,['il1b'],,,,,inferred from Human
119,IL-10,peptide,['il10'],,,,,inferred from Human
120,IL-11,peptide,['il11'],,,,,inferred from Human
126,IL-17B,peptide,['il17b'],,,,,inferred from Human
127,IL-17C,peptide,['il17c'],,,,,inferred from Human
128,IL-17F,peptide,"['il17f', 'ears2']",,,,,inferred from Human
132,IL-1β,peptide,['il1b'],,,,,inferred from Human
